YEAR,LocationAbbr,LocationDesc,TopicType,TopicDesc,MeasureDesc,DataSource,Response,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Std_Err,Low_Confidence_Limit,High_Confidence_Limit,Sample_Size,Gender,Race,Age,Education,GeoLocation,TopicTypeId,TopicId,MeasureId,StratificationID1,StratificationID2,StratificationID3,StratificationID4,SubMeasureID,DisplayOrder
2010,AL,Alabama,Tobacco Use – Survey Data,Cessation (Youth),Quit Attempt in Past Year Among Current Cigarette Smokers,YTS,None,%,Percentage,50.9,2.9,45.3,56.5,206.0,Overall,All Races,All Ages,High School,"(32.840571122, -86.631860762)",BEH,105BEH,169QUA,1GEN,8AGE,6RAC,2EDU,YTS04,4
2002,AL,Alabama,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),User Status,YTS,Ever,%,Percentage,11.4,1.5,8.5,14.3,682.0,Female,All Races,All Ages,High School,"(32.840571122, -86.631860762)",BEH,151BEH,169USS,3GEN,8AGE,6RAC,2EDU,YTS11,11
2008,AL,Alabama,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percentage,8.7,1.3,6.2,11.2,1012.0,Overall,All Races,All Ages,Middle School,"(32.840571122, -86.631860762)",BEH,106BEH,166SSA,1GEN,8AGE,6RAC,1EDU,YTS07,7
2016,AL,Alabama,Tobacco Use – Survey Data,Cessation (Youth),Percent of Current Smokers Who Want to Quit,YTS,None,%,Percentage,37.8,6.4,25.3,50.2,68.0,Female,All Races,All Ages,High School,"(32.840571122, -86.631860762)",BEH,105BEH,170CES,3GEN,8AGE,6RAC,2EDU,YTS03,3
2006,AL,Alabama,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Ever,%,Percentage,40.2,2.7,34.9,45.5,1643.0,Overall,All Races,All Ages,Middle School,"(32.840571122, -86.631860762)",BEH,106BEH,166SSA,1GEN,8AGE,6RAC,1EDU,YTS08,8
2002,AL,Alabama,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percentage,15.6,1.7,12.3,18.9,1504.0,Overall,All Races,All Ages,Middle School,"(32.840571122, -86.631860762)",BEH,106BEH,166SSA,1GEN,8AGE,6RAC,1EDU,YTS07,7
2004,AL,Alabama,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),User Status,YTS,Frequent,%,Percentage,5.0,0.9,3.2,6.8,1505.0,Overall,All Races,All Ages,High School,"(32.840571122, -86.631860762)",BEH,151BEH,169USS,1GEN,8AGE,6RAC,2EDU,YTS12,12
2008,AL,Alabama,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),User Status,YTS,Current,%,Percentage,10.9,2.0,6.9,14.9,1364.0,Overall,All Races,All Ages,High School,"(32.840571122, -86.631860762)",BEH,151BEH,169USS,1GEN,8AGE,6RAC,2EDU,YTS10,10
2000,AL,Alabama,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),User Status,YTS,Ever,%,Percentage,29.8,3.2,23.6,35.9,747.0,Male,All Races,All Ages,Middle School,"(32.840571122, -86.631860762)",BEH,151BEH,169USS,2GEN,8AGE,6RAC,1EDU,YTS11,11
2004,AL,Alabama,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Ever,%,Percentage,34.1,3.6,27.0,41.2,691.0,Female,All Races,All Ages,Middle School,"(32.840571122, -86.631860762)",BEH,106BEH,166SSA,3GEN,8AGE,6RAC,1EDU,YTS08,8
2010,AL,Alabama,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Ever,%,Percentage,48.6,1.9,44.8,52.4,1282.0,Overall,All Races,All Ages,High School,"(32.840571122, -86.631860762)",BEH,106BEH,166SSA,1GEN,8AGE,6RAC,2EDU,YTS08,8
2002,AL,Alabama,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),User Status,YTS,Current,%,Percentage,8.6,1.0,6.6,10.6,1319.0,Overall,All Races,All Ages,High School,"(32.840571122, -86.631860762)",BEH,151BEH,169USS,1GEN,8AGE,6RAC,2EDU,YTS10,10
2014,AL,Alabama,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),User Status,YTS,Ever,%,Percentage,16.0,1.6,12.9,19.2,1404.0,Overall,All Races,All Ages,Middle School,"(32.840571122, -86.631860762)",BEH,151BEH,169USS,1GEN,8AGE,6RAC,1EDU,YTS11,11
2006,AL,Alabama,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),User Status,YTS,Current,%,Percentage,8.4,1.4,5.6,11.2,1761.0,Overall,All Races,All Ages,Middle School,"(32.840571122, -86.631860762)",BEH,151BEH,169USS,1GEN,8AGE,6RAC,1EDU,YTS10,10
2010,AL,Alabama,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),User Status,YTS,Frequent,%,Percentage,3.1,0.8,1.5,4.7,567.0,Male,All Races,All Ages,Middle School,"(32.840571122, -86.631860762)",BEH,151BEH,169USS,2GEN,8AGE,6RAC,1EDU,YTS12,12
2014,AL,Alabama,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),User Status,YTS,Current,%,Percentage,17.5,2.2,13.3,21.8,660.0,Male,All Races,All Ages,High School,"(32.840571122, -86.631860762)",BEH,151BEH,169USS,2GEN,8AGE,6RAC,2EDU,YTS10,10
2010,AL,Alabama,Tobacco Use – Survey Data,Cessation (Youth),Percent of Current Smokers Who Want to Quit,YTS,None,%,Percentage,42.5,4.3,34.0,51.0,188.0,Overall,All Races,All Ages,High School,"(32.840571122, -86.631860762)",BEH,105BEH,170CES,1GEN,8AGE,6RAC,2EDU,YTS01,1
2010,AL,Alabama,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),User Status,YTS,Current,%,Percentage,6.6,1.2,4.2,9.0,1162.0,Overall,All Races,All Ages,Middle School,"(32.840571122, -86.631860762)",BEH,151BEH,169USS,1GEN,8AGE,6RAC,1EDU,YTS10,10
2006,AL,Alabama,Tobacco Use – Survey Data,Cessation (Youth),Quit Attempt in Past Year Among Current Cigarette Smokers,YTS,None,%,Percentage,56.0,4.4,47.4,64.6,157.0,Female,All Races,All Ages,High School,"(32.840571122, -86.631860762)",BEH,105BEH,169QUA,3GEN,8AGE,6RAC,2EDU,YTS06,6
2004,AL,Alabama,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percentage,24.0,2.2,19.8,28.3,1481.0,Overall,All Races,All Ages,High School,"(32.840571122, -86.631860762)",BEH,106BEH,166SSA,1GEN,8AGE,6RAC,2EDU,YTS07,7
2012,AL,Alabama,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percentage,7.7,1.0,5.8,9.6,683.0,Male,All Races,All Ages,Middle School,"(32.840571122, -86.631860762)",BEH,106BEH,166SSA,2GEN,8AGE,6RAC,1EDU,YTS07,7
2000,AL,Alabama,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percentage,32.5,2.1,28.5,36.6,704.0,Male,All Races,All Ages,High School,"(32.840571122, -86.631860762)",BEH,106BEH,166SSA,2GEN,8AGE,6RAC,2EDU,YTS07,7
2008,AL,Alabama,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),User Status,YTS,Ever,%,Percentage,10.0,1.6,6.8,13.2,668.0,Female,All Races,All Ages,High School,"(32.840571122, -86.631860762)",BEH,151BEH,169USS,3GEN,8AGE,6RAC,2EDU,YTS11,11
2000,AL,Alabama,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),User Status,YTS,Current,%,Percentage,13.4,2.3,8.9,17.9,755.0,Male,All Races,All Ages,Middle School,"(32.840571122, -86.631860762)",BEH,151BEH,169USS,2GEN,8AGE,6RAC,1EDU,YTS10,10
2002,AL,Alabama,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),User Status,YTS,Ever,%,Percentage,21.1,2.5,16.2,25.9,1536.0,Overall,All Races,All Ages,Middle School,"(32.840571122, -86.631860762)",BEH,151BEH,169USS,1GEN,8AGE,6RAC,1EDU,YTS11,11
2006,AL,Alabama,Tobacco Use – Survey Data,Cessation (Youth),Percent of Current Smokers Who Want to Quit,YTS,None,%,Percentage,55.3,4.3,46.9,63.7,61.0,Female,All Races,All Ages,Middle School,"(32.840571122, -86.631860762)",BEH,105BEH,170CES,3GEN,8AGE,6RAC,1EDU,YTS03,3
2016,AL,Alabama,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percentage,12.9,2.1,8.8,17.0,1174.0,Male,All Races,All Ages,High School,"(32.840571122, -86.631860762)",BEH,106BEH,166SSA,2GEN,8AGE,6RAC,2EDU,YTS07,7
2008,AL,Alabama,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),User Status,YTS,Current,%,Percentage,19.7,3.1,13.7,25.7,685.0,Male,All Races,All Ages,High School,"(32.840571122, -86.631860762)",BEH,151BEH,169USS,2GEN,8AGE,6RAC,2EDU,YTS10,10
2002,AL,Alabama,Tobacco Use – Survey Data,Cessation (Youth),Percent of Current Smokers Who Want to Quit,YTS,None,%,Percentage,47.4,6.5,34.7,60.1,161.0,Overall,All Races,All Ages,Middle School,"(32.840571122, -86.631860762)",BEH,105BEH,170CES,1GEN,8AGE,6RAC,1EDU,YTS01,1
2008,AL,Alabama,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Frequent,%,Percentage,4.0,1.0,2.1,5.9,492.0,Male,All Races,All Ages,Middle School,"(32.840571122, -86.631860762)",BEH,106BEH,166SSA,2GEN,8AGE,6RAC,1EDU,YTS09,9
2000,AL,Alabama,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),User Status,YTS,Frequent,%,Percentage,0.1,0.1,0.0,0.2,834.0,Female,All Races,All Ages,High School,"(32.840571122, -86.631860762)",BEH,151BEH,169USS,3GEN,8AGE,6RAC,2EDU,YTS12,12
2004,AL,Alabama,Tobacco Use – Survey Data,Cessation (Youth),Quit Attempt in Past Year Among Current Cigarette Smokers,YTS,None,%,Percentage,57.1,3.9,49.4,64.8,176.0,Male,All Races,All Ages,High School,"(32.840571122, -86.631860762)",BEH,105BEH,169QUA,2GEN,8AGE,6RAC,2EDU,YTS05,5
2006,AL,Alabama,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),User Status,YTS,Frequent,%,Percentage,1.1,0.5,0.1,2.1,776.0,Female,All Races,All Ages,High School,"(32.840571122, -86.631860762)",BEH,151BEH,169USS,3GEN,8AGE,6RAC,2EDU,YTS12,12
2012,AL,Alabama,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percentage,7.5,1.0,5.6,9.4,1433.0,Overall,All Races,All Ages,Middle School,"(32.840571122, -86.631860762)",BEH,106BEH,166SSA,1GEN,8AGE,6RAC,1EDU,YTS07,7
2016,AL,Alabama,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),User Status,YTS,Ever,%,Percentage,32.2,2.8,26.8,37.6,1197.0,Male,All Races,All Ages,High School,"(32.840571122, -86.631860762)",BEH,151BEH,169USS,2GEN,8AGE,6RAC,2EDU,YTS11,11
2000,AL,Alabama,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),User Status,YTS,Current,%,Percentage,19.7,2.4,15.0,24.4,718.0,Male,All Races,All Ages,High School,"(32.840571122, -86.631860762)",BEH,151BEH,169USS,2GEN,8AGE,6RAC,2EDU,YTS10,10
2014,AL,Alabama,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Frequent,%,Percentage,7.0,1.8,3.6,10.5,656.0,Male,All Races,All Ages,High School,"(32.840571122, -86.631860762)",BEH,106BEH,166SSA,2GEN,8AGE,6RAC,2EDU,YTS09,9
2006,AL,Alabama,Tobacco Use – Survey Data,Cessation (Youth),Percent of Current Smokers Who Want to Quit,YTS,None,%,Percentage,56.0,3.1,49.9,62.1,163.0,Overall,All Races,All Ages,Middle School,"(32.840571122, -86.631860762)",BEH,105BEH,170CES,1GEN,8AGE,6RAC,1EDU,YTS01,1
2016,AL,Alabama,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),User Status,YTS,Current,%,Percentage,4.0,0.6,2.8,5.2,2968.0,Overall,All Races,All Ages,Middle School,"(32.840571122, -86.631860762)",BEH,151BEH,169USS,1GEN,8AGE,6RAC,1EDU,YTS10,10
2008,AL,Alabama,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Frequent,%,Percentage,12.2,1.9,8.5,15.9,658.0,Male,All Races,All Ages,High School,"(32.840571122, -86.631860762)",BEH,106BEH,166SSA,2GEN,8AGE,6RAC,2EDU,YTS09,9
2012,AL,Alabama,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percentage,14.4,1.9,10.7,18.1,698.0,Female,All Races,All Ages,High School,"(32.840571122, -86.631860762)",BEH,106BEH,166SSA,3GEN,8AGE,6RAC,2EDU,YTS07,7
2004,AL,Alabama,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),User Status,YTS,Frequent,%,Percentage,2.3,0.7,1.0,3.6,681.0,Male,All Races,All Ages,Middle School,"(32.840571122, -86.631860762)",BEH,151BEH,169USS,2GEN,8AGE,6RAC,1EDU,YTS12,12
2016,AL,Alabama,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),User Status,YTS,Ever,%,Percentage,8.4,0.9,6.6,10.1,1271.0,Female,All Races,All Ages,High School,"(32.840571122, -86.631860762)",BEH,151BEH,169USS,3GEN,8AGE,6RAC,2EDU,YTS11,11
2000,AL,Alabama,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),User Status,YTS,Frequent,%,Percentage,3.6,0.5,2.5,4.6,1553.0,Overall,All Races,All Ages,High School,"(32.840571122, -86.631860762)",BEH,151BEH,169USS,1GEN,8AGE,6RAC,2EDU,YTS12,12
2008,AL,Alabama,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percentage,6.8,1.2,4.4,9.2,516.0,Female,All Races,All Ages,Middle School,"(32.840571122, -86.631860762)",BEH,106BEH,166SSA,3GEN,8AGE,6RAC,1EDU,YTS07,7
2004,AL,Alabama,Tobacco Use – Survey Data,Cessation (Youth),Quit Attempt in Past Year Among Current Cigarette Smokers,YTS,None,%,Percentage,41.3,6.5,28.5,54.1,76.0,Male,All Races,All Ages,Middle School,"(32.840571122, -86.631860762)",BEH,105BEH,169QUA,2GEN,8AGE,6RAC,1EDU,YTS05,5
2010,AL,Alabama,Tobacco Use – Survey Data,Cessation (Youth),Percent of Current Smokers Who Want to Quit,YTS,None,%,Percentage,46.2,8.1,30.3,62.1,50.0,Overall,All Races,All Ages,Middle School,"(32.840571122, -86.631860762)",BEH,105BEH,170CES,1GEN,8AGE,6RAC,1EDU,YTS01,1
2016,AL,Alabama,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Ever,%,Percentage,15.2,1.6,12.1,18.3,2672.0,Overall,All Races,All Ages,Middle School,"(32.840571122, -86.631860762)",BEH,106BEH,166SSA,1GEN,8AGE,6RAC,1EDU,YTS08,8
2004,AL,Alabama,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Ever,%,Percentage,63.8,2.7,58.6,69.1,702.0,Male,All Races,All Ages,High School,"(32.840571122, -86.631860762)",BEH,106BEH,166SSA,2GEN,8AGE,6RAC,2EDU,YTS08,8
2002,AL,Alabama,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Frequent,%,Percentage,3.2,1.1,1.1,5.3,820.0,Female,All Races,All Ages,Middle School,"(32.840571122, -86.631860762)",BEH,106BEH,166SSA,3GEN,8AGE,6RAC,1EDU,YTS09,9
2010,AL,Alabama,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),User Status,YTS,Current,%,Percentage,19.1,2.4,14.4,23.8,640.0,Male,All Races,All Ages,High School,"(32.840571122, -86.631860762)",BEH,151BEH,169USS,2GEN,8AGE,6RAC,2EDU,YTS10,10
2014,AL,Alabama,Tobacco Use – Survey Data,Cessation (Youth),Percent of Current Smokers Who Want to Quit,YTS,None,%,Percentage,43.0,6.3,30.7,55.3,50.0,Female,All Races,All Ages,Middle School,"(32.840571122, -86.631860762)",BEH,105BEH,170CES,3GEN,8AGE,6RAC,1EDU,YTS03,3
2004,AL,Alabama,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),User Status,YTS,Ever,%,Percentage,16.4,1.4,13.6,19.1,1392.0,Overall,All Races,All Ages,Middle School,"(32.840571122, -86.631860762)",BEH,151BEH,169USS,1GEN,8AGE,6RAC,1EDU,YTS11,11
2000,AL,Alabama,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),User Status,YTS,Frequent,%,Percentage,3.3,1.0,1.3,5.3,755.0,Male,All Races,All Ages,Middle School,"(32.840571122, -86.631860762)",BEH,151BEH,169USS,2GEN,8AGE,6RAC,1EDU,YTS12,12
2008,AL,Alabama,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Frequent,%,Percentage,1.1,0.5,0.1,2.1,516.0,Female,All Races,All Ages,Middle School,"(32.840571122, -86.631860762)",BEH,106BEH,166SSA,3GEN,8AGE,6RAC,1EDU,YTS09,9
2000,AL,Alabama,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),User Status,YTS,Ever,%,Percentage,7.8,1.3,5.4,10.3,790.0,Female,All Races,All Ages,Middle School,"(32.840571122, -86.631860762)",BEH,151BEH,169USS,3GEN,8AGE,6RAC,1EDU,YTS11,11
2014,AL,Alabama,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percentage,4.9,1.0,3.0,6.9,626.0,Male,All Races,All Ages,Middle School,"(32.840571122, -86.631860762)",BEH,106BEH,166SSA,2GEN,8AGE,6RAC,1EDU,YTS07,7
2016,AL,Alabama,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),User Status,YTS,Frequent,%,Percentage,0.0,0.0,0.0,0.0,1257.0,Female,All Races,All Ages,High School,"(32.840571122, -86.631860762)",BEH,151BEH,169USS,3GEN,8AGE,6RAC,2EDU,YTS12,12
2010,AL,Alabama,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Frequent,%,Percentage,0.9,0.5,0.0,1.8,542.0,Male,All Races,All Ages,Middle School,"(32.840571122, -86.631860762)",BEH,106BEH,166SSA,2GEN,8AGE,6RAC,1EDU,YTS09,9
2016,AL,Alabama,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percentage,3.4,0.7,2.0,4.8,2953.0,Overall,All Races,All Ages,Middle School,"(32.840571122, -86.631860762)",BEH,106BEH,166SSA,1GEN,8AGE,6RAC,1EDU,YTS07,7
2008,AL,Alabama,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percentage,22.1,2.5,17.2,27.0,1327.0,Overall,All Races,All Ages,High School,"(32.840571122, -86.631860762)",BEH,106BEH,166SSA,1GEN,8AGE,6RAC,2EDU,YTS07,7
2012,AL,Alabama,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Frequent,%,Percentage,7.4,1.1,5.3,9.5,1437.0,Overall,All Races,All Ages,High School,"(32.840571122, -86.631860762)",BEH,106BEH,166SSA,1GEN,8AGE,6RAC,2EDU,YTS09,9
2014,AL,Alabama,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),User Status,YTS,Frequent,%,Percentage,0.1,0.1,0.0,0.4,619.0,Female,All Races,All Ages,High School,"(32.840571122, -86.631860762)",BEH,151BEH,169USS,3GEN,8AGE,6RAC,2EDU,YTS12,12
2004,AL,Alabama,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Frequent,%,Percentage,4.5,1.6,1.3,7.8,658.0,Male,All Races,All Ages,Middle School,"(32.840571122, -86.631860762)",BEH,106BEH,166SSA,2GEN,8AGE,6RAC,1EDU,YTS09,9
2002,AL,Alabama,Tobacco Use – Survey Data,Cessation (Youth),Percent of Current Smokers Who Want to Quit,YTS,None,%,Percentage,47.6,5.3,37.2,57.9,76.0,Female,All Races,All Ages,Middle School,"(32.840571122, -86.631860762)",BEH,105BEH,170CES,3GEN,8AGE,6RAC,1EDU,YTS03,3
2004,AL,Alabama,Tobacco Use – Survey Data,Cessation (Youth),Percent of Current Smokers Who Want to Quit,YTS,None,%,Percentage,62.3,4.9,52.7,71.9,112.0,Female,All Races,All Ages,High School,"(32.840571122, -86.631860762)",BEH,105BEH,170CES,3GEN,8AGE,6RAC,2EDU,YTS03,3
2004,AL,Alabama,Tobacco Use – Survey Data,Cessation (Youth),Percent of Current Smokers Who Want to Quit,YTS,None,%,Percentage,54.0,2.4,49.2,58.8,264.0,Overall,All Races,All Ages,High School,"(32.840571122, -86.631860762)",BEH,105BEH,170CES,1GEN,8AGE,6RAC,2EDU,YTS01,1
2002,AL,Alabama,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percentage,12.0,1.5,9.1,14.9,820.0,Female,All Races,All Ages,Middle School,"(32.840571122, -86.631860762)",BEH,106BEH,166SSA,3GEN,8AGE,6RAC,1EDU,YTS07,7
2014,AL,Alabama,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),User Status,YTS,Frequent,%,Percentage,9.3,1.7,6.0,12.6,660.0,Male,All Races,All Ages,High School,"(32.840571122, -86.631860762)",BEH,151BEH,169USS,2GEN,8AGE,6RAC,2EDU,YTS12,12
2000,AL,Alabama,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percentage,19.1,1.6,15.8,22.3,1512.0,Overall,All Races,All Ages,Middle School,"(32.840571122, -86.631860762)",BEH,106BEH,166SSA,1GEN,8AGE,6RAC,1EDU,YTS07,7
2008,AL,Alabama,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Ever,%,Percentage,31.9,2.9,26.3,37.5,972.0,Overall,All Races,All Ages,Middle School,"(32.840571122, -86.631860762)",BEH,106BEH,166SSA,1GEN,8AGE,6RAC,1EDU,YTS08,8
2014,AL,Alabama,Tobacco Use – Survey Data,Cessation (Youth),Quit Attempt in Past Year Among Current Cigarette Smokers,YTS,None,%,Percentage,66.9,5.9,55.2,78.5,85.0,Overall,All Races,All Ages,Middle School,"(32.840571122, -86.631860762)",BEH,105BEH,169QUA,1GEN,8AGE,6RAC,1EDU,YTS04,4
2004,AL,Alabama,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percentage,13.1,1.8,9.6,16.5,1362.0,Overall,All Races,All Ages,Middle School,"(32.840571122, -86.631860762)",BEH,106BEH,166SSA,1GEN,8AGE,6RAC,1EDU,YTS07,7
2000,AL,Alabama,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),User Status,YTS,Ever,%,Percentage,24.7,1.7,21.3,28.1,1539.0,Overall,All Races,All Ages,High School,"(32.840571122, -86.631860762)",BEH,151BEH,169USS,1GEN,8AGE,6RAC,2EDU,YTS11,11
2000,AL,Alabama,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Frequent,%,Percentage,12.9,1.4,10.1,15.7,816.0,Female,All Races,All Ages,High School,"(32.840571122, -86.631860762)",BEH,106BEH,166SSA,3GEN,8AGE,6RAC,2EDU,YTS09,9
2002,AL,Alabama,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Ever,%,Percentage,54.1,3.1,48.1,60.2,665.0,Male,All Races,All Ages,Middle School,"(32.840571122, -86.631860762)",BEH,106BEH,166SSA,2GEN,8AGE,6RAC,1EDU,YTS08,8
2016,AL,Alabama,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percentage,10.9,1.7,7.4,14.3,2431.0,Overall,All Races,All Ages,High School,"(32.840571122, -86.631860762)",BEH,106BEH,166SSA,1GEN,8AGE,6RAC,2EDU,YTS07,7
